first_name,last_name,name,first_last,user_name,twitter_id,party_name,state,office_title,account_type,middle_name,suffix,status,collecting,showing,bioguide_id,gender,fec_candidate_id,district,branch
Angus,King,Angus King,Angus King,angusking2018,513724157,Independent,ME,Senator,campaign,NA,NA,1,TRUE,TRUE,K000383,M,S2ME00109,81,S
Angus,King,Angus King,Angus King,SenAngusKing,1068481578,Independent,ME,Senator,official,NA,NA,1,TRUE,TRUE,K000383,M,S2ME00109,81,S
Ben,Cardin,Ben Cardin,Ben Cardin,BenCardinforMD,278094476,Democrat,MD,Senator,campaign,NA,NA,1,TRUE,TRUE,C000141,M,S6MD03177,81,S
Ben,Cardin,Ben Cardin,Ben Cardin,SenatorCardin,109071031,Democrat,MD,Senator,official,NA,NA,1,TRUE,TRUE,C000141,M,S6MD03177,81,S
Ben,Lujan,Ben R. Lujan,Ben Lujan,SenatorLujan,19318314,Democrat,NM,House Representative,official,Ray,NA,1,TRUE,TRUE,L000570,M,S0NM00058,NA,S
Bernard,Sanders,Bernard Sanders,Bernard Sanders,SenSanders,29442313,Independent,VT,Senator,official,"""Bernie""",NA,1,TRUE,TRUE,S000033,M,S4VT00033,81,S
Bernard,Sanders,Bernard Sanders,Bernard Sanders,BernieSanders,216776631,Independent,VT,Presidential Candidate,campaign,"""Bernie""",NA,1,TRUE,TRUE,S000033,M,P60007168,NA,P
Bill,Cassidy,"""Bill"" Cassidy",Bill Cassidy,BillCassidy,55677432,Republican,LA,Senator,campaign,NA,NA,1,TRUE,TRUE,C001075,M,S4LA00107,82,S
Bill,Cassidy,"""Bill"" Cassidy",Bill Cassidy,SenBillCassidy,1017500185356853200,Republican,LA,Senator,official,NA,NA,1,TRUE,TRUE,C001075,M,S4LA00107,NA,S
Bill,Cassidy,Bill Cassidy,Bill Cassidy,BillCassidy,55677432,Republican,LA,Senator,campaign,NA,NA,1,TRUE,TRUE,C001075,M,S4LA00107,82,S
Bill,Cassidy,Bill Cassidy,Bill Cassidy,SenBillCassidy,1017500185356853200,Republican,LA,Senator,official,NA,NA,1,TRUE,TRUE,C001075,M,S4LA00107,NA,S
Bill,Hagerty,Bill Hagerty,Bill Hagerty,SenatorHagerty,1346873610875654100,Republican,TN,Senator,official,NA,NA,1,TRUE,TRUE,H000601,M,S0TN00169,00,S
Bill,Hagerty,Bill Hagerty,Bill Hagerty,BillHagertyTN,1152598802873880600,Republican,TN,Senate Candidate,campaign,NA,NA,1,TRUE,TRUE,H000601,M,S0TN00169,NA,S
Brian,Schatz,Brian Schatz,Brian Schatz,brianschatz,47747074,Democrat,HI,Senator,campaign,NA,NA,1,TRUE,TRUE,S001194,M,S4HI00136,83,S
Brian,Schatz,Brian Schatz,Brian Schatz,SenBrianSchatz,1262099252,Democrat,HI,Senator,official,NA,NA,1,TRUE,TRUE,S001194,M,S4HI00136,83,S
Catherine,Masto,Catherine Cortez Masto,Catherine Masto,CortezMasto,3145735852,Democrat,NV,Senator,campaign,Cortez,NA,1,TRUE,TRUE,C001113,F,S6NV00200,00,S
Catherine,Masto,Catherine Cortez Masto,Catherine Masto,SenCortezMasto,811313565760163800,Democrat,NV,Senator,official,Cortez,NA,1,TRUE,TRUE,C001113,F,S6NV00200,00,S
Charlie,Crist,Charlie Crist,Charlie Crist,RepCharlieCrist,816030424778543100,Democrat,FL,House Representative,official,NA,NA,1,TRUE,TRUE,C001111,M,H6FL13205,13,H
