first_tweet,data_gaps,first_last,beginning_uninterupted
2011-05-19,TRUE,Aaron Bean,2021-09-01
2018-01-12,TRUE,Abby Finkenauer,2023-02-01
2017-07-10,FALSE,Abigail Spanberger,2017-07-10
2008-12-09,TRUE,Adam Kinzinger,2014-09-01
2010-05-17,TRUE,Adam Schiff,2021-07-01
2009-10-01,TRUE,Adam Smith,2021-01-01
2012-09-24,TRUE,Adriano Espaillat,2022-02-01
2012-01-23,FALSE,Adrian Smith,2012-01-23
2013-01-04,FALSE,Alan Lowenthal,2013-01-04
2019-01-08,FALSE,Alexandria Ocasio-Cortez,2019-01-08
2013-06-08,FALSE,Alex Mooney,2013-06-08
2010-06-17,TRUE,Al Green,2014-12-01
2009-11-08,TRUE,Al Lawson,2022-06-01
2013-08-08,TRUE,Alma Adams,2014-11-01
2009-06-19,TRUE,Ami Bera,2011-10-01
2015-12-28,TRUE,Andrea Salinas,2021-11-01
2011-01-21,FALSE,Andre Carson,2011-01-21
2021-02-05,FALSE,Andrew Clyde,2021-02-05
2020-07-31,FALSE,Andrew Garbarino,2020-07-31
2010-02-25,TRUE,Andy Barr,2013-01-01
2016-02-25,FALSE,Andy Biggs,2016-02-25
2010-05-28,TRUE,Andy Harris,2013-01-01
2017-04-27,TRUE,Andy Kim,2022-12-01
2009-02-17,TRUE,Andy Levin,2020-02-01
2023-01-17,FALSE,Andy Ogles,2023-01-17
2014-02-06,TRUE,Angie Craig,2017-07-01
2011-02-09,TRUE,Anna Eshoo,2022-12-01
2021-05-03,FALSE,Anna Luna,2021-05-03
2013-01-03,FALSE,Annie Kuster,2013-01-03
2017-07-20,FALSE,Ann Kirkpatrick,2017-07-20
2009-11-14,TRUE,Ann Kuster,2017-11-01
2010-11-29,TRUE,Ann Wagner,2011-04-01
2019-01-04,FALSE,Anthony Brindisi,2019-01-04
2013-05-17,TRUE,Anthony Brown,2015-03-01
2020-07-17,FALSE,Anthony D'esposito,2020-07-17
2017-06-05,TRUE,Antonio Delgado,2021-10-01
2015-04-10,TRUE,Ashley Hinson,2016-10-01
2015-02-09,TRUE,Aumua Radewagen,2018-08-01
2009-04-15,TRUE,Austin Scott,2011-01-01
2018-05-09,TRUE,Ayanna Pressley,2021-03-01
2015-01-04,FALSE,Barbara Comstock,2015-01-04
2015-01-21,FALSE,Barbara Lee,2015-01-21
2012-05-21,TRUE,Barry Loudermilk,2012-10-01
2021-01-03,FALSE,Barry Moore,2021-01-03
2019-12-28,FALSE,Becca Balint,2019-12-28
2009-06-18,TRUE,Ben Cline,2011-09-01
2009-01-23,TRUE,Ben Lujan,2010-11-01
2011-03-04,TRUE,Ben Mcadams,2023-03-01
2010-09-28,TRUE,Bennie Thompson,2017-04-01
2016-11-28,FALSE,Beth Duyne,2016-11-28
2013-08-07,TRUE,Beto O'rourke,2019-12-01
2012-04-26,TRUE,Betty Mccollum,2021-03-01
2010-09-16,TRUE,Bill Foster,2013-01-01
2013-02-28,TRUE,Bill Huizenga,2021-03-01
2009-10-12,TRUE,Bill Johnson,2013-03-01
2009-12-14,TRUE,Bill Keating,2023-03-01
2011-04-20,TRUE,Bill Pascrell,2015-11-01
2009-03-24,TRUE,Bill Posey,2022-01-01
2019-02-16,TRUE,Billy Long,2022-10-01
2013-09-10,TRUE,Blaine Luetkemeyer,2018-12-01
