first_tweet,data_gaps,screen_name,beginning_uninterupted
2021-06-07,FALSE,AlexPadilla4CA,2021-06-07
2013-03-02,TRUE,alfranken,2018-08-01
2014-07-03,TRUE,amyklobuchar,2021-02-01
2018-05-30,FALSE,AngusforMaine,2018-05-30
2013-01-07,FALSE,angusking2018,2013-01-07
2012-03-16,TRUE,barrassoforwyo,2019-12-01
2011-11-11,TRUE,BenCardinforMD,2023-01-01
2010-04-05,TRUE,benraylujan,2022-06-01
2017-03-15,TRUE,BenSasse,2022-10-01
2016-06-23,FALSE,BernieSanders,2016-06-23
2022-02-05,FALSE,BetoORourke,2022-02-05
2013-04-03,TRUE,BillCassidy,2021-06-01
2020-08-01,FALSE,BillHagertyTN,2020-08-01
2012-08-02,TRUE,Bob_Casey,2021-03-01
2012-04-17,TRUE,BobMenendezNJ,2023-02-01
2013-07-22,TRUE,Booker4Senate,2015-07-01
2010-02-09,TRUE,Boozman4AR,2018-03-01
2017-11-06,TRUE,braun4indiana,2022-10-01
2018-04-10,TRUE,brianschatz,2021-06-01
2010-11-15,TRUE,BurrForSenate,2015-06-01
2010-07-16,TRUE,CapitoforWV,2022-12-01
2019-06-18,FALSE,CaptMarkKelly,2019-06-18
2014-12-09,TRUE,ChrisCoons,2020-07-01
2018-01-04,TRUE,ChrisCoonsforDE,2023-02-01
2017-09-22,TRUE,ChrisMurphyCT,2021-12-01
2011-04-05,FALSE,ChrisVanHollen,2011-04-05
2012-09-30,FALSE,ChuckGrassley,2012-09-30
2013-09-19,TRUE,chuckschumer,2021-01-01
2011-04-24,TRUE,cindyhydesmith,2022-05-01
2020-12-02,FALSE,clairecmc,2020-12-02
2015-04-08,TRUE,CortezMasto,2019-08-01
2017-06-11,FALSE,CoryBooker,2017-06-11
2009-03-17,TRUE,CoryGardner,2022-03-01
2019-07-11,FALSE,CynthiaMLummis,2019-07-11
2011-03-10,TRUE,DainesforMT,2019-08-01
2013-10-24,TRUE,DanSullivan_AK,2022-05-01
2013-05-14,TRUE,DavidPerdueGA,2021-11-01
2015-04-30,FALSE,DavidVitter,2015-04-30
2011-06-29,TRUE,DebforNebraska,2023-02-01
2012-02-03,TRUE,DianneFeinstein,2020-08-01
2010-01-09,TRUE,DickBlumenthal,2022-05-01
2014-09-19,TRUE,DickDurbin,2016-06-01
2011-07-21,TRUE,DougJones,2017-05-01
2009-05-13,TRUE,DrRandPaul,2021-05-01
2013-02-02,TRUE,EdMarkey,2019-04-01
2011-08-19,TRUE,ewarren,2020-07-01
2010-07-01,TRUE,GaryPeters,2016-06-01
2018-07-24,FALSE,gillibrandny,2018-07-24
2011-10-11,FALSE,GrahamBlog,2011-10-11
2017-08-03,TRUE,GrassleyPress,2021-03-01
2016-10-27,TRUE,GrassleyWorks,2018-05-01
2014-02-20,FALSE,HawleyMO,2014-02-20
2012-02-08,TRUE,HeidiHeitkamp,2016-02-01
2019-06-02,TRUE,Hickenlooper,2022-06-01
2010-01-20,TRUE,hoeven4senate,2022-02-01
2019-11-08,TRUE,inhofeforsenate,2022-08-01
2012-03-26,TRUE,InhofePress,2022-11-01
2020-07-29,TRUE,jackreed2020,2021-01-01
2009-11-28,TRUE,jameslankford,2021-03-01
2021-02-17,FALSE,JDVance1,2021-02-17
2008-03-11,TRUE,JeanneShaheen,2023-02-01
2008-09-04,TRUE,JeffFlake,2022-10-01
2010-12-06,TRUE,JeffMerkley,2017-07-01
2011-05-13,FALSE,JerryMoran,2011-05-13
2013-04-26,TRUE,JimInhofe,2014-12-01
2017-02-01,TRUE,JoeCunninghamSC,2023-03-01
2010-03-08,TRUE,JoeManchinWV,2017-07-01
2008-08-04,TRUE,JohnBoozman,2020-09-01
2016-05-14,TRUE,JohnCornyn,2022-07-01
2022-02-19,FALSE,JohnFetterman,2022-02-19
2017-07-17,TRUE,JohnJamesMI,2021-01-01
2009-07-07,TRUE,JohnKennedyLA,2022-08-01
2014-06-03,TRUE,JohnnyIsakson,2021-11-01
2009-04-07,TRUE,johnthune,2022-06-01
2013-04-27,TRUE,joniernst,2018-03-01
2011-07-12,TRUE,jontester,2022-05-01
2013-10-08,TRUE,KamalaHarris,2020-07-01
2021-06-08,FALSE,KatieBrittforAL,2021-06-08
2015-07-17,TRUE,KellyAyotte,2023-01-01
2021-03-29,FALSE,KellyForAlaska,2021-03-29
2018-09-07,TRUE,KrisKobach1787,2021-02-01
2015-12-03,FALSE,kyrstensinema,2015-12-03
2013-02-15,TRUE,LamarAlexander,2020-11-01
2015-07-08,FALSE,LeaderMcConnell,2015-07-08
2015-10-27,TRUE,LindseyGrahamSC,2020-08-01
2010-06-07,TRUE,LisaForSenate,2021-11-01
2011-11-11,TRUE,lisamurkowski,2020-12-01
2010-05-13,TRUE,lutherstrange,2012-10-01
2011-09-15,TRUE,Maggie_Hassan,2023-02-01
2017-07-25,FALSE,marcorubio,2017-07-25
2011-08-19,TRUE,MariaCantwell,2020-08-01
2012-12-11,TRUE,MarkWarner,2020-10-01
2013-04-25,TRUE,MarkWarnerVA,2022-11-01
2011-09-05,TRUE,MarkwayneMullin,2016-02-01
2014-01-07,TRUE,MarshaBlackburn,2022-03-01
2015-01-07,TRUE,MarthaMcSally,2023-02-01
2012-02-13,TRUE,MarthaMcSallyAZ,2019-04-01
2013-01-18,FALSE,MartinHeinrich,2013-01-18
2010-07-21,TRUE,mazieforhawaii,2022-12-01
2012-01-04,FALSE,maziehirono,2012-01-04
2013-07-11,FALSE,McCaskillOffice,2013-07-11
2014-08-21,TRUE,McConnellPress,2020-07-01
2009-06-10,TRUE,MichaelBennet,2018-09-01
2013-04-23,FALSE,MikeCrapo,2013-04-23
2013-11-03,TRUE,MikeLeeforUtah,2021-02-01
2009-07-08,TRUE,MittRomney,2016-09-01
2009-03-10,TRUE,moranforkansas,2022-10-01
2010-06-23,TRUE,MurrayCampaign,2017-09-01
2020-05-22,FALSE,nancymace,2020-05-22
2020-08-04,FALSE,ossoff,2020-08-04
2013-03-28,TRUE,PatRoberts,2021-02-01
2009-09-17,TRUE,PatToomey,2022-08-01
2015-02-26,TRUE,PattyMurray,2021-06-01
2011-01-20,FALSE,portmanpress,2011-01-20
2015-12-11,FALSE,RandPaul,2015-12-11
2020-12-02,FALSE,ReverendWarnock,2020-12-02
2019-08-12,TRUE,Risch4Idaho,2022-05-01
2016-05-09,TRUE,robportman,2022-10-01
2013-03-06,TRUE,RogerMarshallMD,2021-06-01
2012-08-27,TRUE,RogerWicker,2015-11-01
2018-02-16,FALSE,Romney4Utah,2018-02-16
2015-12-11,TRUE,RonJohnsonWI,2022-01-01
2013-08-09,FALSE,RonWyden,2013-08-09
2016-01-27,TRUE,RosenforNevada,2021-12-01
2012-11-29,TRUE,RoundsforSenate,2019-04-01
2015-04-15,FALSE,RoyBlunt,2015-04-15
2011-11-22,TRUE,RoyBluntMO,2022-11-01
2021-03-24,FALSE,Schmitt4Senate,2021-03-24
2014-08-07,TRUE,ScottforFlorida,2015-03-01
2013-05-10,FALSE,Sen_JoeManchin,2013-05-10
2010-02-26,TRUE,SenAlexander,2023-02-01
2021-01-20,FALSE,SenAlexPadilla,2021-01-20
2018-01-09,FALSE,SenAmyKlobuchar,2018-01-09
2013-01-07,FALSE,SenAngusKing,2013-01-07
2015-10-08,TRUE,SenatorBaldwin,2021-02-01
2012-11-11,FALSE,SenatorBarb,2012-11-11
2011-01-06,FALSE,SenatorBennet,2011-01-06
2010-12-21,FALSE,SenatorBoxer,2010-12-21
2019-01-03,FALSE,SenatorBraun,2019-01-03
2009-03-04,TRUE,SenatorBurr,2020-12-01
2012-06-07,FALSE,SenatorCantwell,2012-06-07
2015-02-23,TRUE,SenatorCardin,2020-10-01
2013-06-19,FALSE,SenatorCarper,2013-06-19
2009-01-29,TRUE,SenatorCollins,2010-10-01
2015-09-11,TRUE,SenatorDurbin,2021-06-01
2012-06-28,TRUE,SenatorEnzi,2021-07-01
2013-01-17,FALSE,SenatorFischer,2013-01-17
2022-01-06,FALSE,SenatorHagerty,2022-01-06
2013-02-14,TRUE,SenatorHassan,2020-08-01
2015-06-11,FALSE,SenatorHeitkamp,2015-06-11
2021-01-03,FALSE,SenatorHick,2021-01-03
2013-02-12,TRUE,SenatorIsakson,2021-11-01
2014-08-19,FALSE,SenatorKirk,2014-08-19
2011-09-30,TRUE,SenatorLankford,2020-08-01
2015-09-08,FALSE,SenatorLeahy,2015-09-08
2019-12-04,FALSE,SenatorLoeffler,2019-12-04
2012-07-09,TRUE,SenatorMenendez,2021-08-01
2011-12-20,TRUE,SenatorReid,2021-07-01
2013-01-17,TRUE,SenatorRisch,2016-09-01
2019-01-03,FALSE,SenatorRomney,2019-01-03
2015-01-15,FALSE,SenatorRounds,2015-01-15
2013-01-16,TRUE,SenatorShaheen,2021-09-01
2015-06-17,FALSE,SenatorSinema,2015-06-17
2012-03-06,TRUE,SenatorTester,2013-05-01
2015-02-09,FALSE,SenatorTimScott,2015-02-09
2009-11-05,FALSE,SenatorTomUdall,2009-11-05
2021-01-29,FALSE,SenatorWarnock,2021-01-29
2011-03-11,TRUE,SenatorWicker,2021-07-01
2018-07-13,TRUE,SenBillCassidy,2021-06-01
2009-02-17,TRUE,SenBillNelson,2021-05-01
2015-01-12,TRUE,SenBlumenthal,2021-02-01
2014-01-29,TRUE,SenBobCasey,2021-05-01
2009-09-14,TRUE,SenBobCorker,2022-10-01
2013-10-31,TRUE,SenBooker,2016-01-01
2016-04-11,FALSE,SenBookerOfc,2016-04-11
2013-03-21,TRUE,SenBrianSchatz,2019-09-01
2014-11-11,TRUE,SenCapito,2020-10-01
2011-12-30,TRUE,SenCoonsOffice,2016-08-01
2016-12-26,TRUE,SenCortezMasto,2020-11-01
2011-06-08,FALSE,SenCoryGardner,2011-06-08
2014-03-20,FALSE,SenDanCoats,2014-03-20
2015-01-11,FALSE,SenDanSullivan,2015-01-11
2015-01-06,FALSE,sendavidperdue,2015-01-06
2014-02-07,FALSE,SenDeanHeller,2014-02-07
2013-05-07,FALSE,SenDonnelly,2013-05-07
2018-01-05,FALSE,SenDougJones,2018-01-05
2013-01-03,TRUE,SenDuckworth,2020-08-01
2013-12-06,TRUE,SenFeinstein,2020-10-01
2010-07-28,TRUE,SenFranken,2018-07-01
2012-05-30,FALSE,SenGaryPeters,2012-05-30
2015-09-29,FALSE,SenGillibrand,2015-09-29
2019-01-04,FALSE,SenHawleyPress,2019-01-04
2018-04-09,FALSE,SenHydeSmith,2018-04-09
2013-02-04,FALSE,SenJackReed,2013-02-04
2017-01-12,TRUE,SenJackyRosen,2021-04-01
2012-07-16,TRUE,SenJeffMerkley,2021-11-01
2011-02-17,FALSE,SenJohnBarrasso,2011-02-17
2012-09-17,FALSE,SenJohnHoeven,2012-09-17
2017-01-04,FALSE,SenJohnKennedy,2017-01-04
