year_month,count,date,twitter_data,office_type
2008-12,1,2008-12-01,Combined Accounts,Senate
2009-01,1,2009-01-01,Combined Accounts,Senate
2009-02,1,2009-02-01,Combined Accounts,Senate
2009-03,4,2009-03-01,Combined Accounts,Senate
2009-04,4,2009-04-01,Combined Accounts,Senate
2009-05,5,2009-05-01,Combined Accounts,Senate
2009-06,6,2009-06-01,Combined Accounts,Senate
2009-07,7,2009-07-01,Combined Accounts,Senate
2009-08,6,2009-08-01,Combined Accounts,Senate
2009-09,7,2009-09-01,Combined Accounts,Senate
2009-10,9,2009-10-01,Combined Accounts,Senate
2009-11,10,2009-11-01,Combined Accounts,Senate
2009-12,10,2009-12-01,Combined Accounts,Senate
2010-01,11,2010-01-01,Combined Accounts,Senate
2010-02,11,2010-02-01,Combined Accounts,Senate
2010-03,12,2010-03-01,Combined Accounts,Senate
2010-04,12,2010-04-01,Combined Accounts,Senate
2010-05,12,2010-05-01,Combined Accounts,Senate
2010-06,14,2010-06-01,Combined Accounts,Senate
2010-07,17,2010-07-01,Combined Accounts,Senate
2010-08,17,2010-08-01,Combined Accounts,Senate
2010-09,17,2010-09-01,Combined Accounts,Senate
2010-10,17,2010-10-01,Combined Accounts,Senate
2010-11,15,2010-11-01,Combined Accounts,Senate
2010-12,8,2010-12-01,Combined Accounts,Senate
2011-01,10,2011-01-01,Combined Accounts,Senate
2011-02,9,2011-02-01,Combined Accounts,Senate
2011-03,14,2011-03-01,Combined Accounts,Senate
2011-04,13,2011-04-01,Combined Accounts,Senate
2011-05,15,2011-05-01,Combined Accounts,Senate
2011-06,16,2011-06-01,Combined Accounts,Senate
2011-07,18,2011-07-01,Combined Accounts,Senate
2011-08,19,2011-08-01,Combined Accounts,Senate
2011-09,22,2011-09-01,Combined Accounts,Senate
2011-10,22,2011-10-01,Combined Accounts,Senate
2011-11,21,2011-11-01,Combined Accounts,Senate
2011-12,21,2011-12-01,Combined Accounts,Senate
2012-01,22,2012-01-01,Combined Accounts,Senate
2012-02,24,2012-02-01,Combined Accounts,Senate
2012-03,25,2012-03-01,Combined Accounts,Senate
2012-04,26,2012-04-01,Combined Accounts,Senate
2012-05,26,2012-05-01,Combined Accounts,Senate
2012-06,25,2012-06-01,Combined Accounts,Senate
2012-07,26,2012-07-01,Combined Accounts,Senate
2012-08,26,2012-08-01,Combined Accounts,Senate
2012-09,28,2012-09-01,Combined Accounts,Senate
2012-10,30,2012-10-01,Combined Accounts,Senate
2012-11,30,2012-11-01,Combined Accounts,Senate
2012-12,21,2012-12-01,Combined Accounts,Senate
2013-01,21,2013-01-01,Combined Accounts,Senate
2013-02,20,2013-02-01,Combined Accounts,Senate
2013-03,24,2013-03-01,Combined Accounts,Senate
2013-04,26,2013-04-01,Combined Accounts,Senate
2013-05,26,2013-05-01,Combined Accounts,Senate
2013-06,26,2013-06-01,Combined Accounts,Senate
2013-07,27,2013-07-01,Combined Accounts,Senate
2013-08,29,2013-08-01,Combined Accounts,Senate
2013-09,29,2013-09-01,Combined Accounts,Senate
2013-10,30,2013-10-01,Combined Accounts,Senate
2013-11,30,2013-11-01,Combined Accounts,Senate
2013-12,30,2013-12-01,Combined Accounts,Senate
2014-01,31,2014-01-01,Combined Accounts,Senate
2014-02,29,2014-02-01,Combined Accounts,Senate
2014-03,32,2014-03-01,Combined Accounts,Senate
2014-04,31,2014-04-01,Combined Accounts,Senate
2014-05,31,2014-05-01,Combined Accounts,Senate
2014-06,31,2014-06-01,Combined Accounts,Senate
2014-07,31,2014-07-01,Combined Accounts,Senate
2014-08,31,2014-08-01,Combined Accounts,Senate
2014-09,32,2014-09-01,Combined Accounts,Senate
2014-10,32,2014-10-01,Combined Accounts,Senate
2014-11,33,2014-11-01,Combined Accounts,Senate
2014-12,26,2014-12-01,Combined Accounts,Senate
2015-01,27,2015-01-01,Combined Accounts,Senate
2015-02,27,2015-02-01,Combined Accounts,Senate
2015-03,29,2015-03-01,Combined Accounts,Senate
2015-04,31,2015-04-01,Combined Accounts,Senate
2015-05,30,2015-05-01,Combined Accounts,Senate
2015-06,33,2015-06-01,Combined Accounts,Senate
2015-07,34,2015-07-01,Combined Accounts,Senate
2015-08,34,2015-08-01,Combined Accounts,Senate
2015-09,35,2015-09-01,Combined Accounts,Senate
2015-10,35,2015-10-01,Combined Accounts,Senate
2015-11,35,2015-11-01,Combined Accounts,Senate
2015-12,36,2015-12-01,Combined Accounts,Senate
2016-01,38,2016-01-01,Combined Accounts,Senate
2016-02,36,2016-02-01,Combined Accounts,Senate
2016-03,38,2016-03-01,Combined Accounts,Senate
2016-04,39,2016-04-01,Combined Accounts,Senate
2016-05,39,2016-05-01,Combined Accounts,Senate
2016-06,39,2016-06-01,Combined Accounts,Senate
2016-07,39,2016-07-01,Combined Accounts,Senate
2016-08,39,2016-08-01,Combined Accounts,Senate
2016-09,39,2016-09-01,Combined Accounts,Senate
2016-10,38,2016-10-01,Combined Accounts,Senate
2016-11,39,2016-11-01,Combined Accounts,Senate
2016-12,36,2016-12-01,Combined Accounts,Senate
2017-01,36,2017-01-01,Combined Accounts,Senate
2017-02,35,2017-02-01,Combined Accounts,Senate
2017-03,37,2017-03-01,Combined Accounts,Senate
2017-04,37,2017-04-01,Combined Accounts,Senate
2017-05,37,2017-05-01,Combined Accounts,Senate
2017-06,37,2017-06-01,Combined Accounts,Senate
2017-07,38,2017-07-01,Combined Accounts,Senate
2017-08,38,2017-08-01,Combined Accounts,Senate
2017-09,38,2017-09-01,Combined Accounts,Senate
2017-10,39,2017-10-01,Combined Accounts,Senate
2017-11,40,2017-11-01,Combined Accounts,Senate
2017-12,39,2017-12-01,Combined Accounts,Senate
2018-01,39,2018-01-01,Combined Accounts,Senate
2018-02,38,2018-02-01,Combined Accounts,Senate
2018-03,40,2018-03-01,Combined Accounts,Senate
2018-04,40,2018-04-01,Combined Accounts,Senate
2018-05,40,2018-05-01,Combined Accounts,Senate
2018-06,40,2018-06-01,Combined Accounts,Senate
2018-07,40,2018-07-01,Combined Accounts,Senate
2018-08,40,2018-08-01,Combined Accounts,Senate
2018-09,40,2018-09-01,Combined Accounts,Senate
2018-10,40,2018-10-01,Combined Accounts,Senate
2018-11,40,2018-11-01,Combined Accounts,Senate
2018-12,31,2018-12-01,Combined Accounts,Senate
2019-01,30,2019-01-01,Combined Accounts,Senate
2019-02,30,2019-02-01,Combined Accounts,Senate
2019-03,32,2019-03-01,Combined Accounts,Senate
2019-04,32,2019-04-01,Combined Accounts,Senate
2019-05,32,2019-05-01,Combined Accounts,Senate
2019-06,33,2019-06-01,Combined Accounts,Senate
2019-07,34,2019-07-01,Combined Accounts,Senate
2019-08,34,2019-08-01,Combined Accounts,Senate
2019-09,35,2019-09-01,Combined Accounts,Senate
2019-10,35,2019-10-01,Combined Accounts,Senate
2019-11,34,2019-11-01,Combined Accounts,Senate
2019-12,35,2019-12-01,Combined Accounts,Senate
