year_month,total_accounts,date,twitter_data,office_type
2008-09,1,2008-09-01,combined,senate
2008-10,1,2008-10-01,combined,senate
2008-11,1,2008-11-01,combined,senate
2008-12,1,2008-12-01,combined,senate
2009-01,1,2009-01-01,combined,senate
2009-02,1,2009-02-01,combined,senate
2009-03,4,2009-03-01,combined,senate
2009-04,4,2009-04-01,combined,senate
2009-05,5,2009-05-01,combined,senate
2009-06,6,2009-06-01,combined,senate
2009-07,7,2009-07-01,combined,senate
2009-08,6,2009-08-01,combined,senate
2009-09,7,2009-09-01,combined,senate
2009-10,9,2009-10-01,combined,senate
2009-11,10,2009-11-01,combined,senate
2009-12,10,2009-12-01,combined,senate
2010-01,11,2010-01-01,combined,senate
2010-02,11,2010-02-01,combined,senate
2010-03,12,2010-03-01,combined,senate
2010-04,12,2010-04-01,combined,senate
2010-05,12,2010-05-01,combined,senate
2010-06,14,2010-06-01,combined,senate
2010-07,17,2010-07-01,combined,senate
2010-08,17,2010-08-01,combined,senate
2010-09,17,2010-09-01,combined,senate
2010-10,17,2010-10-01,combined,senate
2010-11,15,2010-11-01,combined,senate
2008-09,1,2008-09-01,combined,senate
2008-10,1,2008-10-01,combined,senate
2008-11,1,2008-11-01,combined,senate
2008-12,2,2008-12-01,combined,senate
2009-01,2,2009-01-01,combined,senate
2009-02,3,2009-02-01,combined,senate
2009-03,5,2009-03-01,combined,senate
2009-04,4,2009-04-01,combined,senate
2009-05,3,2009-05-01,combined,senate
2009-06,5,2009-06-01,combined,senate
2009-07,5,2009-07-01,combined,senate
2009-08,4,2009-08-01,combined,senate
2009-09,6,2009-09-01,combined,senate
2009-10,8,2009-10-01,combined,senate
2009-11,9,2009-11-01,combined,senate
2009-12,8,2009-12-01,combined,senate
2010-01,9,2010-01-01,combined,senate
2010-02,8,2010-02-01,combined,senate
2010-03,9,2010-03-01,combined,senate
2010-04,9,2010-04-01,combined,senate
2010-05,9,2010-05-01,combined,senate
2010-06,9,2010-06-01,combined,senate
2010-07,12,2010-07-01,combined,senate
2010-08,12,2010-08-01,combined,senate
2010-09,11,2010-09-01,combined,senate
2010-10,12,2010-10-01,combined,senate
2010-11,10,2010-11-01,combined,senate
