year_month,total_accounts,date,twitter_data,office_type
2008-03,1,2008-03-01,combined,senate
2008-04,1,2008-04-01,combined,senate
2008-05,1,2008-05-01,combined,senate
2008-06,1,2008-06-01,combined,senate
2008-07,1,2008-07-01,combined,senate
2008-08,2,2008-08-01,combined,senate
2008-09,3,2008-09-01,combined,senate
2008-10,3,2008-10-01,combined,senate
2008-11,3,2008-11-01,combined,senate
2008-12,3,2008-12-01,combined,senate
2009-01,4,2009-01-01,combined,senate
2009-02,6,2009-02-01,combined,senate
2009-03,10,2009-03-01,combined,senate
2009-04,10,2009-04-01,combined,senate
2009-05,10,2009-05-01,combined,senate
2009-06,13,2009-06-01,combined,senate
2009-07,15,2009-07-01,combined,senate
2009-08,13,2009-08-01,combined,senate
2009-09,16,2009-09-01,combined,senate
2009-10,18,2009-10-01,combined,senate
2009-11,21,2009-11-01,combined,senate
2009-12,20,2009-12-01,combined,senate
2010-01,22,2010-01-01,combined,senate
2010-02,22,2010-02-01,combined,senate
2010-03,25,2010-03-01,combined,senate
2010-04,27,2010-04-01,combined,senate
2010-05,27,2010-05-01,combined,senate
2010-06,29,2010-06-01,combined,senate
2010-07,32,2010-07-01,combined,senate
2010-08,32,2010-08-01,combined,senate
2010-09,32,2010-09-01,combined,senate
2010-10,34,2010-10-01,combined,senate
2010-11,31,2010-11-01,combined,senate
2010-12,26,2010-12-01,combined,senate
2011-01,28,2011-01-01,combined,senate
2011-02,30,2011-02-01,combined,senate
2011-03,34,2011-03-01,combined,senate
2011-04,34,2011-04-01,combined,senate
2011-05,37,2011-05-01,combined,senate
2011-06,35,2011-06-01,combined,senate
2011-07,38,2011-07-01,combined,senate
2011-08,35,2011-08-01,combined,senate
2011-09,43,2011-09-01,combined,senate
2011-10,41,2011-10-01,combined,senate
2011-11,44,2011-11-01,combined,senate
2011-12,44,2011-12-01,combined,senate
2012-01,47,2012-01-01,combined,senate
2012-02,48,2012-02-01,combined,senate
2012-03,50,2012-03-01,combined,senate
2012-04,55,2012-04-01,combined,senate
2012-05,56,2012-05-01,combined,senate
2012-06,54,2012-06-01,combined,senate
2012-07,56,2012-07-01,combined,senate
2012-08,59,2012-08-01,combined,senate
2012-09,65,2012-09-01,combined,senate
2012-10,69,2012-10-01,combined,senate
2012-11,68,2012-11-01,combined,senate
2012-12,63,2012-12-01,combined,senate
2013-01,65,2013-01-01,combined,senate
2013-02,66,2013-02-01,combined,senate
2013-03,75,2013-03-01,combined,senate
2013-04,76,2013-04-01,combined,senate
2013-05,79,2013-05-01,combined,senate
2013-06,79,2013-06-01,combined,senate
2013-07,81,2013-07-01,combined,senate
2013-08,82,2013-08-01,combined,senate
2013-09,81,2013-09-01,combined,senate
2013-10,83,2013-10-01,combined,senate
2013-11,86,2013-11-01,combined,senate
2013-12,86,2013-12-01,combined,senate
2014-01,88,2014-01-01,combined,senate
2014-02,86,2014-02-01,combined,senate
2014-03,94,2014-03-01,combined,senate
2014-04,92,2014-04-01,combined,senate
2014-05,93,2014-05-01,combined,senate
2014-06,92,2014-06-01,combined,senate
2014-07,93,2014-07-01,combined,senate
2014-08,96,2014-08-01,combined,senate
2014-09,99,2014-09-01,combined,senate
2014-10,101,2014-10-01,combined,senate
2014-11,100,2014-11-01,combined,senate
2014-12,95,2014-12-01,combined,senate
2015-01,96,2015-01-01,combined,senate
2015-02,94,2015-02-01,combined,senate
2015-03,103,2015-03-01,combined,senate
2015-04,106,2015-04-01,combined,senate
2015-05,104,2015-05-01,combined,senate
2015-06,108,2015-06-01,combined,senate
2015-07,108,2015-07-01,combined,senate
2015-08,108,2015-08-01,combined,senate
2015-09,110,2015-09-01,combined,senate
2015-10,114,2015-10-01,combined,senate
2015-11,114,2015-11-01,combined,senate
2015-12,114,2015-12-01,combined,senate
2016-01,118,2016-01-01,combined,senate
2016-02,114,2016-02-01,combined,senate
2016-03,118,2016-03-01,combined,senate
2016-04,119,2016-04-01,combined,senate
2016-05,119,2016-05-01,combined,senate
2016-06,121,2016-06-01,combined,senate
2016-07,119,2016-07-01,combined,senate
2016-08,118,2016-08-01,combined,senate
2016-09,120,2016-09-01,combined,senate
2016-10,119,2016-10-01,combined,senate
2016-11,120,2016-11-01,combined,senate
2016-12,120,2016-12-01,combined,senate
2017-01,118,2017-01-01,combined,senate
2017-02,110,2017-02-01,combined,senate
2017-03,114,2017-03-01,combined,senate
2017-04,115,2017-04-01,combined,senate
