office_type,twitter_data_type,election_year,number_tweets
senate,combined,2010,7699
senate,combined,2012,17590
senate,combined,2014,37132
senate,combined,2016,75906
senate,combined,2018,104891
senate,combined,2020,78950
senate,all,2010,7932
senate,all,2012,20335
senate,all,2014,42675
senate,all,2016,89012
senate,all,2018,129504
senate,all,2020,97211
house,combined,2010,25725
house,combined,2012,78206
house,combined,2014,228517
house,combined,2016,389559
house,combined,2018,630659
house,combined,2020,598668
house,all,2010,26398
house,all,2012,84146
house,all,2014,246596
house,all,2016,428029
house,all,2018,692186
house,all,2020,720425
