year_month,count,date,twitter_data,office_type
2008-12,6,2008-12-01,Combined Accounts,Senate
2009-01,6,2009-01-01,Combined Accounts,Senate
2009-02,10,2009-02-01,Combined Accounts,Senate
2009-03,58,2009-03-01,Combined Accounts,Senate
2009-04,192,2009-04-01,Combined Accounts,Senate
2009-05,142,2009-05-01,Combined Accounts,Senate
2009-06,115,2009-06-01,Combined Accounts,Senate
2009-07,104,2009-07-01,Combined Accounts,Senate
2009-08,154,2009-08-01,Combined Accounts,Senate
2009-09,158,2009-09-01,Combined Accounts,Senate
2009-10,217,2009-10-01,Combined Accounts,Senate
2009-11,250,2009-11-01,Combined Accounts,Senate
2009-12,243,2009-12-01,Combined Accounts,Senate
2010-01,343,2010-01-01,Combined Accounts,Senate
2010-02,365,2010-02-01,Combined Accounts,Senate
2010-03,454,2010-03-01,Combined Accounts,Senate
2010-04,561,2010-04-01,Combined Accounts,Senate
2010-05,432,2010-05-01,Combined Accounts,Senate
2010-06,550,2010-06-01,Combined Accounts,Senate
2010-07,702,2010-07-01,Combined Accounts,Senate
2010-08,740,2010-08-01,Combined Accounts,Senate
2010-09,558,2010-09-01,Combined Accounts,Senate
2010-10,1039,2010-10-01,Combined Accounts,Senate
2010-11,300,2010-11-01,Combined Accounts,Senate
2010-12,92,2010-12-01,Combined Accounts,Senate
2011-01,219,2011-01-01,Combined Accounts,Senate
2011-02,205,2011-02-01,Combined Accounts,Senate
2011-03,325,2011-03-01,Combined Accounts,Senate
2011-04,359,2011-04-01,Combined Accounts,Senate
2011-05,296,2011-05-01,Combined Accounts,Senate
2011-06,208,2011-06-01,Combined Accounts,Senate
2011-07,333,2011-07-01,Combined Accounts,Senate
2011-08,357,2011-08-01,Combined Accounts,Senate
2011-09,352,2011-09-01,Combined Accounts,Senate
2011-10,454,2011-10-01,Combined Accounts,Senate
2011-11,515,2011-11-01,Combined Accounts,Senate
2011-12,535,2011-12-01,Combined Accounts,Senate
2012-01,651,2012-01-01,Combined Accounts,Senate
2012-02,647,2012-02-01,Combined Accounts,Senate
2012-03,863,2012-03-01,Combined Accounts,Senate
2012-04,825,2012-04-01,Combined Accounts,Senate
2012-05,1288,2012-05-01,Combined Accounts,Senate
2012-06,1151,2012-06-01,Combined Accounts,Senate
2012-07,1147,2012-07-01,Combined Accounts,Senate
2012-08,1207,2012-08-01,Combined Accounts,Senate
2012-09,1317,2012-09-01,Combined Accounts,Senate
2012-10,2932,2012-10-01,Combined Accounts,Senate
2012-11,1312,2012-11-01,Combined Accounts,Senate
2012-12,461,2012-12-01,Combined Accounts,Senate
2013-01,636,2013-01-01,Combined Accounts,Senate
2013-02,842,2013-02-01,Combined Accounts,Senate
2013-03,1149,2013-03-01,Combined Accounts,Senate
2013-04,1223,2013-04-01,Combined Accounts,Senate
2013-05,1293,2013-05-01,Combined Accounts,Senate
2013-06,1203,2013-06-01,Combined Accounts,Senate
2013-07,1265,2013-07-01,Combined Accounts,Senate
2013-08,1192,2013-08-01,Combined Accounts,Senate
2013-09,1253,2013-09-01,Combined Accounts,Senate
2013-10,1412,2013-10-01,Combined Accounts,Senate
2013-11,1215,2013-11-01,Combined Accounts,Senate
2013-12,860,2013-12-01,Combined Accounts,Senate
2014-01,1448,2014-01-01,Combined Accounts,Senate
2014-02,1486,2014-02-01,Combined Accounts,Senate
2014-03,1852,2014-03-01,Combined Accounts,Senate
2014-04,1927,2014-04-01,Combined Accounts,Senate
2014-05,1778,2014-05-01,Combined Accounts,Senate
2014-06,1781,2014-06-01,Combined Accounts,Senate
2014-07,1943,2014-07-01,Combined Accounts,Senate
2014-08,1748,2014-08-01,Combined Accounts,Senate
2014-09,2159,2014-09-01,Combined Accounts,Senate
2014-10,5055,2014-10-01,Combined Accounts,Senate
2014-11,1951,2014-11-01,Combined Accounts,Senate
2014-12,695,2014-12-01,Combined Accounts,Senate
2015-01,1548,2015-01-01,Combined Accounts,Senate
2015-02,1616,2015-02-01,Combined Accounts,Senate
2015-03,2184,2015-03-01,Combined Accounts,Senate
2015-04,1869,2015-04-01,Combined Accounts,Senate
2015-05,1902,2015-05-01,Combined Accounts,Senate
2015-06,2197,2015-06-01,Combined Accounts,Senate
2015-07,2705,2015-07-01,Combined Accounts,Senate
2015-08,2001,2015-08-01,Combined Accounts,Senate
2015-09,2829,2015-09-01,Combined Accounts,Senate
2015-10,3368,2015-10-01,Combined Accounts,Senate
2015-11,2798,2015-11-01,Combined Accounts,Senate
2015-12,2956,2015-12-01,Combined Accounts,Senate
2016-01,4039,2016-01-01,Combined Accounts,Senate
2016-02,3679,2016-02-01,Combined Accounts,Senate
2016-03,4574,2016-03-01,Combined Accounts,Senate
2016-04,4009,2016-04-01,Combined Accounts,Senate
2016-05,3752,2016-05-01,Combined Accounts,Senate
2016-06,4127,2016-06-01,Combined Accounts,Senate
2016-07,3820,2016-07-01,Combined Accounts,Senate
2016-08,4098,2016-08-01,Combined Accounts,Senate
2016-09,4838,2016-09-01,Combined Accounts,Senate
2016-10,6746,2016-10-01,Combined Accounts,Senate
2016-11,3556,2016-11-01,Combined Accounts,Senate
2016-12,2153,2016-12-01,Combined Accounts,Senate
2017-01,3757,2017-01-01,Combined Accounts,Senate
2017-02,3168,2017-02-01,Combined Accounts,Senate
2017-03,4372,2017-03-01,Combined Accounts,Senate
2017-04,3322,2017-04-01,Combined Accounts,Senate
2017-05,4003,2017-05-01,Combined Accounts,Senate
2017-06,4164,2017-06-01,Combined Accounts,Senate
2017-07,4041,2017-07-01,Combined Accounts,Senate
2017-08,3341,2017-08-01,Combined Accounts,Senate
