year_month,total_tweets,date,twitter_data,office_type
2008-09,11,2008-09-01,combined,senate
2008-10,4,2008-10-01,combined,senate
2008-11,4,2008-11-01,combined,senate
2008-12,6,2008-12-01,combined,senate
2009-01,6,2009-01-01,combined,senate
2009-02,10,2009-02-01,combined,senate
2009-03,58,2009-03-01,combined,senate
2009-04,192,2009-04-01,combined,senate
2009-05,142,2009-05-01,combined,senate
2009-06,115,2009-06-01,combined,senate
2009-07,104,2009-07-01,combined,senate
2009-08,154,2009-08-01,combined,senate
2009-09,158,2009-09-01,combined,senate
2009-10,217,2009-10-01,combined,senate
2009-11,250,2009-11-01,combined,senate
2009-12,243,2009-12-01,combined,senate
2010-01,343,2010-01-01,combined,senate
2010-02,365,2010-02-01,combined,senate
2010-03,454,2010-03-01,combined,senate
2010-04,561,2010-04-01,combined,senate
2010-05,432,2010-05-01,combined,senate
2010-06,550,2010-06-01,combined,senate
2010-07,702,2010-07-01,combined,senate
2010-08,740,2010-08-01,combined,senate
2010-09,558,2010-09-01,combined,senate
2010-10,1039,2010-10-01,combined,senate
2010-11,300,2010-11-01,combined,senate
2008-09,11,2008-09-01,combined,senate
2008-10,4,2008-10-01,combined,senate
2008-11,4,2008-11-01,combined,senate
2008-12,10,2008-12-01,combined,senate
2009-01,22,2009-01-01,combined,senate
2009-02,24,2009-02-01,combined,senate
2009-03,70,2009-03-01,combined,senate
2009-04,177,2009-04-01,combined,senate
2009-05,99,2009-05-01,combined,senate
2009-06,63,2009-06-01,combined,senate
2009-07,68,2009-07-01,combined,senate
2009-08,55,2009-08-01,combined,senate
2009-09,60,2009-09-01,combined,senate
2009-10,160,2009-10-01,combined,senate
2009-11,149,2009-11-01,combined,senate
2009-12,107,2009-12-01,combined,senate
2010-01,151,2010-01-01,combined,senate
2010-02,194,2010-02-01,combined,senate
2010-03,230,2010-03-01,combined,senate
2010-04,162,2010-04-01,combined,senate
2010-05,174,2010-05-01,combined,senate
2010-06,237,2010-06-01,combined,senate
2010-07,318,2010-07-01,combined,senate
2010-08,292,2010-08-01,combined,senate
2010-09,164,2010-09-01,combined,senate
2010-10,275,2010-10-01,combined,senate
2010-11,171,2010-11-01,combined,senate
2010-12,92,2010-12-01,combined,senate
2011-01,219,2011-01-01,combined,senate
2011-02,205,2011-02-01,combined,senate
2011-03,325,2011-03-01,combined,senate
2011-04,359,2011-04-01,combined,senate
2011-05,296,2011-05-01,combined,senate
2011-06,208,2011-06-01,combined,senate
2011-07,333,2011-07-01,combined,senate
2011-08,357,2011-08-01,combined,senate
2011-09,352,2011-09-01,combined,senate
2011-10,454,2011-10-01,combined,senate
2011-11,515,2011-11-01,combined,senate
2011-12,535,2011-12-01,combined,senate
2012-01,651,2012-01-01,combined,senate
2012-02,647,2012-02-01,combined,senate
2012-03,863,2012-03-01,combined,senate
2012-04,825,2012-04-01,combined,senate
2012-05,1288,2012-05-01,combined,senate
2012-06,1151,2012-06-01,combined,senate
2012-07,1147,2012-07-01,combined,senate
2012-08,1207,2012-08-01,combined,senate
2012-09,1317,2012-09-01,combined,senate
2012-10,2932,2012-10-01,combined,senate
2012-11,1312,2012-11-01,combined,senate
2008-12,4,2008-12-01,combined,senate
2009-01,24,2009-01-01,combined,senate
2009-02,21,2009-02-01,combined,senate
2009-03,79,2009-03-01,combined,senate
2009-04,172,2009-04-01,combined,senate
2009-05,105,2009-05-01,combined,senate
2009-06,97,2009-06-01,combined,senate
2009-07,87,2009-07-01,combined,senate
2009-08,70,2009-08-01,combined,senate
2009-09,47,2009-09-01,combined,senate
2009-10,98,2009-10-01,combined,senate
2009-11,142,2009-11-01,combined,senate
2009-12,79,2009-12-01,combined,senate
2010-01,139,2010-01-01,combined,senate
2010-02,152,2010-02-01,combined,senate
2010-03,219,2010-03-01,combined,senate
2010-04,141,2010-04-01,combined,senate
2010-05,136,2010-05-01,combined,senate
2010-06,197,2010-06-01,combined,senate
2010-07,292,2010-07-01,combined,senate
2010-08,248,2010-08-01,combined,senate
2010-09,144,2010-09-01,combined,senate
2010-10,195,2010-10-01,combined,senate
2010-11,152,2010-11-01,combined,senate
2010-12,107,2010-12-01,combined,senate
2011-01,170,2011-01-01,combined,senate
2011-02,184,2011-02-01,combined,senate
2011-03,273,2011-03-01,combined,senate
2011-04,230,2011-04-01,combined,senate
2011-05,251,2011-05-01,combined,senate
2011-06,164,2011-06-01,combined,senate
2011-07,230,2011-07-01,combined,senate
2011-08,185,2011-08-01,combined,senate
2011-09,222,2011-09-01,combined,senate
2011-10,392,2011-10-01,combined,senate
2011-11,371,2011-11-01,combined,senate
2011-12,327,2011-12-01,combined,senate
2012-01,370,2012-01-01,combined,senate
2012-02,388,2012-02-01,combined,senate
2012-03,540,2012-03-01,combined,senate
2012-04,370,2012-04-01,combined,senate
2012-05,505,2012-05-01,combined,senate
2012-06,559,2012-06-01,combined,senate
2012-07,492,2012-07-01,combined,senate
2012-08,448,2012-08-01,combined,senate
2012-09,519,2012-09-01,combined,senate
2012-10,920,2012-10-01,combined,senate
2012-11,613,2012-11-01,combined,senate
2012-12,461,2012-12-01,combined,senate
2013-01,636,2013-01-01,combined,senate
2013-02,842,2013-02-01,combined,senate
2013-03,1149,2013-03-01,combined,senate
2013-04,1223,2013-04-01,combined,senate
2013-05,1293,2013-05-01,combined,senate
2013-06,1203,2013-06-01,combined,senate
2013-07,1265,2013-07-01,combined,senate
2013-08,1192,2013-08-01,combined,senate
2013-09,1253,2013-09-01,combined,senate
2013-10,1412,2013-10-01,combined,senate
2013-11,1215,2013-11-01,combined,senate
2013-12,860,2013-12-01,combined,senate
2014-01,1448,2014-01-01,combined,senate
2014-02,1486,2014-02-01,combined,senate
2014-03,1852,2014-03-01,combined,senate
2014-04,1927,2014-04-01,combined,senate
2014-05,1778,2014-05-01,combined,senate
2014-06,1781,2014-06-01,combined,senate
2014-07,1943,2014-07-01,combined,senate
2014-08,1748,2014-08-01,combined,senate
2014-09,2159,2014-09-01,combined,senate
2014-10,5055,2014-10-01,combined,senate
2014-11,1951,2014-11-01,combined,senate
2010-12,52,2010-12-01,combined,senate
2011-01,177,2011-01-01,combined,senate
2011-02,161,2011-02-01,combined,senate
2011-03,264,2011-03-01,combined,senate
2011-04,249,2011-04-01,combined,senate
2011-05,335,2011-05-01,combined,senate
2011-06,287,2011-06-01,combined,senate
