office_type,twitter_data_type,election_year,number_tweets
senate,combined,2010,7718
senate,combined,2012,21041
senate,combined,2014,49002
senate,combined,2016,109201
senate,combined,2018,180173
senate,combined,2020,189917
senate,all,2010,7951
senate,all,2012,23811
senate,all,2014,55695
senate,all,2016,125660
senate,all,2018,211585
senate,all,2020,223993
house,combined,2010,25725
house,combined,2012,78206
house,combined,2014,228517
house,combined,2016,389559
house,combined,2018,630659
house,combined,2020,598668
house,all,2010,26398
house,all,2012,84146
house,all,2014,246596
house,all,2016,428029
house,all,2018,692186
house,all,2020,720425
