year_month,total_tweets,date,twitter_data,office_type
2008-03,1,2008-03-01,combined,senate
2008-04,17,2008-04-01,combined,senate
2008-05,5,2008-05-01,combined,senate
2008-06,16,2008-06-01,combined,senate
2008-07,23,2008-07-01,combined,senate
2008-08,24,2008-08-01,combined,senate
2008-09,33,2008-09-01,combined,senate
2008-10,26,2008-10-01,combined,senate
2008-11,9,2008-11-01,combined,senate
2008-12,24,2008-12-01,combined,senate
2009-01,41,2009-01-01,combined,senate
2009-02,62,2009-02-01,combined,senate
2009-03,136,2009-03-01,combined,senate
2009-04,254,2009-04-01,combined,senate
2009-05,213,2009-05-01,combined,senate
2009-06,221,2009-06-01,combined,senate
2009-07,239,2009-07-01,combined,senate
2009-08,246,2009-08-01,combined,senate
2009-09,239,2009-09-01,combined,senate
2009-10,364,2009-10-01,combined,senate
2009-11,356,2009-11-01,combined,senate
2009-12,358,2009-12-01,combined,senate
2010-01,437,2010-01-01,combined,senate
2010-02,483,2010-02-01,combined,senate
2010-03,671,2010-03-01,combined,senate
2010-04,738,2010-04-01,combined,senate
2010-05,644,2010-05-01,combined,senate
2010-06,727,2010-06-01,combined,senate
2010-07,847,2010-07-01,combined,senate
2010-08,887,2010-08-01,combined,senate
2010-09,729,2010-09-01,combined,senate
2010-10,1282,2010-10-01,combined,senate
2010-11,451,2010-11-01,combined,senate
2010-12,231,2010-12-01,combined,senate
2011-01,392,2011-01-01,combined,senate
2011-02,449,2011-02-01,combined,senate
2011-03,672,2011-03-01,combined,senate
2011-04,631,2011-04-01,combined,senate
2011-05,806,2011-05-01,combined,senate
2011-06,673,2011-06-01,combined,senate
2011-07,837,2011-07-01,combined,senate
2011-08,693,2011-08-01,combined,senate
2011-09,802,2011-09-01,combined,senate
2011-10,937,2011-10-01,combined,senate
2011-11,985,2011-11-01,combined,senate
2011-12,1027,2011-12-01,combined,senate
2012-01,1354,2012-01-01,combined,senate
2012-02,1263,2012-02-01,combined,senate
2012-03,2124,2012-03-01,combined,senate
2012-04,1631,2012-04-01,combined,senate
2012-05,2326,2012-05-01,combined,senate
2012-06,2213,2012-06-01,combined,senate
2012-07,2361,2012-07-01,combined,senate
2012-08,2237,2012-08-01,combined,senate
2012-09,2381,2012-09-01,combined,senate
2012-10,4413,2012-10-01,combined,senate
2012-11,2509,2012-11-01,combined,senate
2012-12,1414,2012-12-01,combined,senate
2013-01,1988,2013-01-01,combined,senate
2013-02,2387,2013-02-01,combined,senate
2013-03,3445,2013-03-01,combined,senate
2013-04,3257,2013-04-01,combined,senate
2013-05,3530,2013-05-01,combined,senate
2013-06,3977,2013-06-01,combined,senate
2013-07,3662,2013-07-01,combined,senate
2013-08,2881,2013-08-01,combined,senate
2013-09,3516,2013-09-01,combined,senate
2013-10,3351,2013-10-01,combined,senate
2013-11,3619,2013-11-01,combined,senate
2013-12,2616,2013-12-01,combined,senate
2014-01,4152,2014-01-01,combined,senate
2014-02,4168,2014-02-01,combined,senate
2014-03,5651,2014-03-01,combined,senate
2014-04,5062,2014-04-01,combined,senate
2014-05,5293,2014-05-01,combined,senate
2014-06,4798,2014-06-01,combined,senate
2014-07,4977,2014-07-01,combined,senate
2014-08,3909,2014-08-01,combined,senate
2014-09,5538,2014-09-01,combined,senate
2014-10,8074,2014-10-01,combined,senate
2014-11,4343,2014-11-01,combined,senate
2014-12,2889,2014-12-01,combined,senate
2015-01,4994,2015-01-01,combined,senate
2015-02,5088,2015-02-01,combined,senate
2015-03,7160,2015-03-01,combined,senate
2015-04,6128,2015-04-01,combined,senate
2015-05,6451,2015-05-01,combined,senate
