first_name,last_name,candidate,first_last,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,party,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket,vote_share,screen_name,twitter_id,office_title,account_type,middle_name,suffix,status,collecting,showing,bioguide_id,gender,fec_candidate_id,branch
Aaron,Bean,NA,NA,NA,FL,FL,NA,NA,NA,NA,04,NA,NA,NA,REPUBLICAN,NA,NA,NA,NA,NA,NA,NA,RepAaronBean,1.6049275500813599e+18,House Representative,official,NA,NA,1,TRUE,TRUE,B001314,M,H2FL04211,H
Aaron,Bean,NA,NA,NA,FL,FL,NA,NA,NA,NA,04,NA,NA,NA,REPUBLICAN,NA,NA,NA,NA,NA,NA,NA,AaronPBean,24317646,House Candidate,campaign,NA,NA,1,TRUE,TRUE,B001314,M,H2FL04211,H
Aaron,Godfrey,Aaron Paul Godfrey,Aaron Godfrey,2020,OHIO,OH,39,31,24,US HOUSE,016,GEN,FALSE,FALSE,DEMOCRAT,TOTAL,144071,391406,FALSE,20220331,FALSE,0.3680858239270732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron,Schock,Aaron Schock,Aaron Schock,2010,ILLINOIS,IL,17,33,21,US HOUSE,018,GEN,NA,FALSE,REPUBLICAN,TOTAL,152868,221170,FALSE,20220331,FALSE,0.6911787312926708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron,Schock,Aaron Schock,Aaron Schock,2014,ILLINOIS,IL,17,33,21,US HOUSE,018,GEN,NA,FALSE,REPUBLICAN,TOTAL,184363,246740,FALSE,20220331,FALSE,0.7471954283861555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron,Schock,Aaron Schock,Aaron Schock,2012,ILLINOIS,IL,17,33,21,US HOUSE,018,GEN,NA,FALSE,REPUBLICAN,TOTAL,244467,329631,FALSE,20220331,FALSE,0.7416383774584308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron,Swisher,Aaron Swisher,Aaron Swisher,2018,IDAHO,ID,16,82,63,US HOUSE,002,GEN,NA,FALSE,DEMOCRAT,TOTAL,110381,280655,FALSE,20220331,FALSE,0.39329782116833834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron,Swisher,C Aaron Swisher,Aaron Swisher,2020,IDAHO,ID,16,82,63,US HOUSE,002,GEN,FALSE,FALSE,DEMOCRAT,TOTAL,124151,391333,FALSE,20220331,FALSE,0.31725154791443605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron,Woolf,Aaron G Woolf,Aaron Woolf,2014,NEW YORK,NY,36,21,13,US HOUSE,021,GEN,NA,FALSE,DEMOCRAT,TOTAL,53140,181558,FALSE,20220331,TRUE,0.29268883772678705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abby,Finkenauer,Abby Finkenauer,Abby Finkenauer,2020,IOWA,IA,19,42,31,US HOUSE,001,GEN,FALSE,FALSE,DEMOCRAT,TOTAL,201347,423971,FALSE,20220331,FALSE,0.47490748187965687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abby,Finkenauer,Abby Finkenauer,Abby Finkenauer,2018,IOWA,IA,19,42,31,US HOUSE,001,GEN,NA,FALSE,DEMOCRAT,TOTAL,170342,334243,FALSE,20220331,FALSE,0.5096352055241247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abel,Collins,Abel G Collins,Abel Collins,2012,RHODE ISLAND,RI,44,15,5,US HOUSE,002,GEN,NA,FALSE,INDEPENDENT,TOTAL,20212,222660,FALSE,20220331,FALSE,0.09077517290936854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abel,Maldonado,Abel Maldonado,Abel Maldonado,2012,CALIFORNIA,CA,6,93,71,US HOUSE,024,GEN,NA,FALSE,REPUBLICAN,TOTAL,127746,284495,FALSE,20220331,FALSE,0.4490272236770418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abel,Tapia,Abel J Tapia,Abel Tapia,2014,COLORADO,CO,8,84,62,US HOUSE,003,GEN,NA,FALSE,DEMOCRAT,TOTAL,100364,281141,FALSE,20220331,FALSE,0.35698813051102474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abigail,Spanberger,Abigail Davis Spanberger,Abigail Spanberger,2020,VIRGINIA,VA,51,54,40,US HOUSE,007,GEN,FALSE,FALSE,DEMOCRAT,TOTAL,230893,454339,FALSE,20220331,FALSE,0.5081954223608363,SpanbergerVA07,882958562296819700,House Candidate,campaign,NA,NA,1,TRUE,TRUE,S001209,F,H8VA07094,H
Abigail,Spanberger,Abigail Davis Spanberger,Abigail Spanberger,2020,VIRGINIA,VA,51,54,40,US HOUSE,007,GEN,FALSE,FALSE,DEMOCRAT,TOTAL,230893,454339,FALSE,20220331,FALSE,0.5081954223608363,RepSpanberger,1078771401497161700,House Representative,official,NA,NA,1,TRUE,TRUE,S001209,F,H8VA07094,H
Abigail,Spanberger,Abigail A Spanberger,Abigail Spanberger,2018,VIRGINIA,VA,51,54,40,US HOUSE,007,GEN,NA,FALSE,DEMOCRAT,TOTAL,176079,349803,FALSE,20220331,FALSE,0.503366180392964,SpanbergerVA07,882958562296819700,House Candidate,campaign,NA,NA,1,TRUE,TRUE,S001209,F,H8VA07094,H
Abigail,Spanberger,Abigail A Spanberger,Abigail Spanberger,2018,VIRGINIA,VA,51,54,40,US HOUSE,007,GEN,NA,FALSE,DEMOCRAT,TOTAL,176079,349803,FALSE,20220331,FALSE,0.503366180392964,RepSpanberger,1078771401497161700,House Representative,official,NA,NA,1,TRUE,TRUE,S001209,F,H8VA07094,H
Adair,Boroughs,Adair Ford Boroughs,Adair Boroughs,2020,SOUTH CAROLINA,SC,45,57,48,US HOUSE,002,GEN,FALSE,FALSE,DEMOCRAT,TOTAL,155118,364215,FALSE,20220331,FALSE,0.4258967917301594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam,Bell,Adam P Bell,Adam Bell,2016,TEXAS,TX,48,74,49,US HOUSE,003,GEN,NA,FALSE,DEMOCRAT,TOTAL,109420,316467,FALSE,20220331,FALSE,0.345754849636771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam,Christensen,Adam Christensen,Adam Christensen,2020,FLORIDA,FL,12,59,43,US HOUSE,003,GEN,FALSE,FALSE,DEMOCRAT,TOTAL,167326,390401,FALSE,20220331,FALSE,0.42860033657700675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
