Weather and Climate Billion-Dollar Disasters to affect the U.S. from 2016-2022 (CPI-Adjusted)
"Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths"
"Southeast and Eastern Tornadoes (February 2016)","Severe Storm",20160222,20160224,1310.3,10
"Texas and Louisiana Flooding (March 2016)","Flooding",20160308,20160312,2891.5,5
"Southern Severe Weather (March 2016)","Severe Storm",20160317,20160318,1512.9,1
"North Texas Hail Storm (March 2016)","Severe Storm",20160323,20160324,2581.0,0
"North/Central Texas Hail Storm (April 2016)","Severe Storm",20160410,20160412,4338.2,0
"Houston Flooding (April 2016)","Flooding",20160417,20160418,3371.8,8
"South/Southeast Tornadoes (April 2016)","Severe Storm",20160426,20160502,2969.2,6
"Plains Tornadoes and Central Severe Weather (May 2016)","Severe Storm",20160508,20160511,2132.5,2
"Rockies/Central Tornadoes and Severe Weather (May 2016)","Severe Storm",20160521,20160526,1421.3,0
"West Virginia Flooding and Ohio Valley Tornadoes (June 2016)","Flooding",20160622,20160624,1220.8,23
"Rockies and Northeast Severe Weather (July 2016)","Severe Storm",20160728,20160730,1817.4,0
"Louisiana Flooding (August 2016)","Flooding",20160812,20160815,12600.0,13
"Hurricane Matthew (October 2016)","Tropical Cyclone",20161008,20161012,12300.0,49
"Western/Southeast Wildfires (Summer-Fall 2016)","Wildfire",20160601,20161231,2969.8,21
"West/Northeast/Southeast Drought (2016)","Drought",20160101,20161231,4338.8,0
"Southern Tornado Outbreak and Western Storms (January 2017)","Severe Storm",20170120,20170122,1359.3,24
"California Flooding (February 2017)","Flooding",20170208,20170222,1845.0,5
"Central/Southeast Tornado Outbreak (March 2017)","Severe Storm",20170228,20170301,2203.4,6
"Midwest Tornado Outbreak (March 2017)","Severe Storm",20170306,20170308,2654.7,2
"Southeast Freeze (March 2017)","Freeze",20170314,20170316,1230.0,0
"South/Southeast Severe Weather (March 2017)","Severe Storm",20170326,20170328,3287.9,0
"Southeast Severe Weather and Tornadoes (April 2017)","Severe Storm",20170404,20170406,1190.7,1
"Missouri and Arkansas Flooding and Central Severe Weather (May 2017)","Flooding",20170425,20170507,2040.7,20
"Colorado Hail Storm and Central Severe Weather (May 2017)","Severe Storm",20170508,20170511,4087.0,0
"North Central Severe Weather and Tornadoes (May 2017)","Severe Storm",20170515,20170518,1148.0,1
