first_tweet,data_gaps,screen_name,beginning_uninterupted
2020-10-31,FALSE,AbbottCampaign,2020-10-31
2015-09-10,TRUE,agarciapadilla,2023-02-01
2018-05-23,TRUE,andrewcuomo,2022-01-01
2015-10-13,FALSE,AndyBeshearKY,2015-10-13
2019-06-05,FALSE,AsaHutchinson,2019-06-05
2017-11-02,TRUE,AStrongandFree,2022-03-01
2009-03-23,TRUE,BillHaslam,2022-09-01
2017-02-14,TRUE,BillLeeTN,2023-01-01
2018-11-06,TRUE,BrianKempGA,2021-03-01
2009-04-30,FALSE,ButchOtter,2009-04-30
2021-08-10,FALSE,CAgovernor,2021-08-10
2014-08-16,TRUE,CharlieBakerMA,2023-03-01
2010-03-01,TRUE,ChrisSununu,2022-02-01
2013-11-13,TRUE,DanMcKeeRI,2019-02-01
2017-06-10,FALSE,DougBurgum,2017-06-10
2021-08-27,FALSE,DougDucey,2021-08-27
2016-01-14,TRUE,DougForDakota,2022-06-01
2015-01-21,TRUE,DrJoshGreen,2021-08-01
2014-02-19,TRUE,electmarissa,2021-07-01
2020-07-27,FALSE,GavinNewsom,2020-07-27
2010-02-17,TRUE,GinaRaimondo,2021-03-01
2021-01-27,FALSE,GlennYoungkin,2021-01-27
2009-07-31,TRUE,Gov_Martinez,2021-08-01
2019-11-19,FALSE,GovAbbott,2019-11-19
2021-09-04,FALSE,GovAndyBeshear,2021-09-04
2019-05-02,FALSE,GovBillLee,2019-05-02
2020-03-17,FALSE,GovChrisSununu,2020-03-17
2021-01-18,FALSE,GovCox,2021-01-18
2018-03-26,FALSE,GovDanMcKee,2018-03-26
2018-12-04,FALSE,GovDunleavy,2018-12-04
2019-01-05,FALSE,GovernorGordon,2019-01-05
2019-10-16,FALSE,GovernorKayIvey,2019-10-16
2018-04-27,FALSE,GovernorLittle,2018-04-27
2021-03-24,FALSE,GovernorShapiro,2021-03-24
2017-08-06,FALSE,GovernorTomWolf,2017-08-06
2022-01-15,FALSE,GovernorVA,2022-01-15
2020-10-24,FALSE,GovEvers,2020-10-24
2021-01-04,FALSE,GovGianforte,2021-01-04
2020-04-16,FALSE,GovHawaii,2020-04-16
2016-05-17,TRUE,GovHerbert,2023-02-01
2019-07-31,FALSE,GovHolcomb,2019-07-31
2020-03-26,FALSE,GovInslee,2020-03-26
2019-01-24,TRUE,GovJanetMills,2020-11-01
2018-01-31,FALSE,GovJeffColyer,2018-01-31
2020-04-23,FALSE,GovKemp,2020-04-23
2012-01-26,TRUE,govkristinoem,2019-05-01
2021-06-16,FALSE,GovLarryHogan,2021-06-16
2020-08-26,FALSE,GovLauraKelly,2020-08-26
2021-01-12,FALSE,GovMikeDeWine,2021-01-12
2020-10-27,FALSE,GovMLG,2020-10-27
2021-10-09,FALSE,GovMurphy,2021-10-09
2021-10-31,FALSE,GovNedLamont,2021-10-31
2018-05-14,FALSE,GovofCO,2018-05-14
2021-11-08,FALSE,GovParsonMO,2021-11-08
2019-05-30,FALSE,GovPhilScott,2019-05-30
2021-03-31,FALSE,GovPritzker,2021-03-31
2017-03-20,FALSE,GovRaimondo,2017-03-20
2016-05-24,FALSE,GovRauner,2016-05-24
2021-12-20,FALSE,GovRicketts,2021-12-20
2022-02-04,FALSE,GovSisolak,2022-02-04
2019-03-22,FALSE,GovStitt,2019-03-22
2020-04-08,FALSE,GovTimWalz,2020-04-08
