first_tweet,data_gaps,first_last,beginning_uninterupted
2021-01-20,FALSE,Alex Padilla,2021-01-20
2010-07-28,TRUE,Al Franken,2018-07-01
2014-07-03,FALSE,Amy Klobuchar,2014-07-03
2013-01-07,FALSE,Angus King,2013-01-07
2010-12-21,FALSE,Barbara Boxer,2010-12-21
2012-11-11,FALSE,Barbara Mikulski,2012-11-11
2011-11-11,TRUE,Ben Cardin,2015-02-01
2010-04-05,TRUE,Ben Luján,2022-06-01
2015-01-07,TRUE,Ben Sasse,2022-10-01
2015-10-27,FALSE,Bernard Sanders,2015-10-27
2016-06-23,FALSE,Bernie Sanders,2016-06-23
2022-02-05,FALSE,Beto O'rourke,2022-02-05
2013-04-03,TRUE,Bill Cassidy,2021-06-01
2020-08-01,FALSE,Bill Hagerty,2020-08-01
2009-02-17,TRUE,Bill Nelson,2021-05-01
2009-09-14,TRUE,Bob Corker,2022-10-01
2013-03-21,TRUE,Brian Schatz,2017-10-01
2015-04-08,FALSE,Catherine Masto,2015-04-08
2011-12-30,FALSE,Chris Coons,2011-12-30
2011-04-05,TRUE,Chris Hollen,2016-11-01
2014-11-12,TRUE,Chris Murphy,2021-12-01
2012-09-30,TRUE,Chuck Grassley,2021-01-01
2013-09-19,TRUE,Chuck Schumer,2021-01-01
2011-04-24,TRUE,Cindy Hyde-Smith,2018-02-01
2013-07-11,TRUE,Claire Mccaskill,2020-12-01
2013-07-22,TRUE,Cory Booker,2016-01-01
2009-03-17,TRUE,Cory Gardner,2023-01-01
2019-07-11,FALSE,Cynthia Lummis,2019-07-11
2014-03-20,FALSE,Dan Coats,2014-03-20
2013-10-24,FALSE,Dan Sullivan,2013-10-24
2013-05-14,TRUE,David Perdue,2021-11-01
2015-04-30,FALSE,David Vitter,2015-04-30
2014-02-07,FALSE,Dean Heller,2014-02-07
2009-02-14,TRUE,Debbie Stabenow,2013-10-01
2011-06-29,TRUE,Deb Fischer,2013-01-01
2012-02-03,TRUE,Dianne Feinstein,2020-08-01
2014-09-19,TRUE,Dick Durbin,2021-06-01
2011-07-21,TRUE,Doug Jones,2017-05-01
2013-02-02,TRUE,Ed Markey,2013-09-01
2011-08-19,TRUE,Elizabeth Warren,2020-07-01
2021-03-24,FALSE,Eric Schmitt,2021-03-24
2010-07-01,TRUE,Gary Peters,2018-12-01
2011-12-20,TRUE,Harry Reid,2021-07-01
